CIK,Company Name,Form Type,Date Filed,Filename,local_path,SEC_url,SIC
868016,SUMMIT SECURITIES INC /ID/,S-1,1994-01-14,868016_0000868016-94-000003.htm,./data/S-1/1994/QTR1/868016_0000868016-94-000003,https://www.sec.gov/Archives/edgar/data/868016/000086801694000003/0000868016-94-000003-index.htm,6159
59558,LINCOLN NATIONAL CORP,S-1,1994-04-12,59558_0000059558-94-000030.htm,./data/S-1/1994/QTR2/59558_0000059558-94-000030,https://www.sec.gov/Archives/edgar/data/59558/000005955894000030/0000059558-94-000030-index.htm,6311
806085,LEHMAN BROTHERS HOLDINGS INC,S-1,1994-04-05,806085_0000950123-94-000703.htm,./data/S-1/1994/QTR2/806085_0000950123-94-000703,https://www.sec.gov/Archives/edgar/data/806085/000095012394000703/0000950123-94-000703-index.htm,6211
890175,GREEN TREE FINANCIAL CORP,S-1,1994-05-06,890175_0000950109-94-000798.htm,./data/S-1/1994/QTR2/890175_0000950109-94-000798,https://www.sec.gov/Archives/edgar/data/890175/000095010994000798/0000950109-94-000798-index.htm,6189
354190,GALLAGHER ARTHUR J & CO,S-1,1995-03-15,354190_0000950131-95-000602.htm,./data/S-1/1995/QTR1/354190_0000950131-95-000602,https://www.sec.gov/Archives/edgar/data/354190/000095013195000602/0000950131-95-000602-index.htm,6411
939028,RCL TRUST 1995-1,S-1,1995-02-24,939028_0000950124-95-000504.htm,./data/S-1/1995/QTR1/939028_0000950124-95-000504,https://www.sec.gov/Archives/edgar/data/939028/000095012495000504/0000950124-95-000504-index.htm,6141
205695,NATIONWIDE LIFE INSURANCE CO,S-1,1995-05-02,205695_0000950152-95-000810.htm,./data/S-1/1995/QTR2/205695_0000950152-95-000810,https://www.sec.gov/Archives/edgar/data/205695/000095015295000810/0000950152-95-000810-index.htm,6311
801550,DVI INC,S-1,1995-06-23,801550_0000950123-95-001804.htm,./data/S-1/1995/QTR2/801550_0000950123-95-001804,https://www.sec.gov/Archives/edgar/data/801550/000095012395001804/0000950123-95-001804-index.htm,6172
837010,AETNA LIFE INSURANCE & ANNUITY CO /CT,S-1,1995-06-22,837010_0000950109-95-002416.htm,./data/S-1/1995/QTR2/837010_0000950109-95-002416,https://www.sec.gov/Archives/edgar/data/837010/000095010995002416/0000950109-95-002416-index.htm,6311
881453,AMERICAN SKANDIA LIFE ASSURANCE CORP/CT,S-1,1995-06-05,881453_0000914039-95-000067.htm,./data/S-1/1995/QTR2/881453_0000914039-95-000067,https://www.sec.gov/Archives/edgar/data/881453/000091403995000067/0000914039-95-000067-index.htm,6399
