CIK,Company Name,Form Type,Date Filed,Filename,local_path,SEC_url,SIC
708818,QUALITY SYSTEMS INC,S-1,1996-01-11,708818_0000892569-96-000024.htm,./data/S-1/1996/QTR1/708818_0000892569-96-000024,https://www.sec.gov/Archives/edgar/data/708818/000089256996000024/0000892569-96-000024-index.htm,7373
943320,TRUMP HOTELS & CASINO RESORTS INC,S-1,1996-02-01,943320_0000950130-96-000349.htm,./data/S-1/1996/QTR1/943320_0000950130-96-000349,https://www.sec.gov/Archives/edgar/data/943320/000095013096000349/0000950130-96-000349-index.htm,7011
1001635,SAVILLE SYSTEMS PLC,S-1,1996-05-21,1001635_0000927016-96-000306.htm,./data/S-1/1996/QTR2/1001635_0000927016-96-000306,https://www.sec.gov/Archives/edgar/data/1001635/000092701696000306/0000927016-96-000306-index.htm,7371
1002579,EXTENDED STAY AMERICA INC,S-1,1996-05-09,1002579_0000950131-96-002048.htm,./data/S-1/1996/QTR2/1002579_0000950131-96-002048,https://www.sec.gov/Archives/edgar/data/1002579/000095013196002048/0000950131-96-002048-index.htm,7011
1006835,SIEBEL SYSTEMS INC,S-1,1996-05-15,1006835_0000891618-96-000469.htm,./data/S-1/1996/QTR2/1006835_0000891618-96-000469,https://www.sec.gov/Archives/edgar/data/1006835/000089161896000469/0000891618-96-000469-index.htm,7372
1008946,VIRTUAL OPEN NETWORK ENVIRONMENT CORP,S-1,1996-06-21,1008946_0000898432-96-000281.htm,./data/S-1/1996/QTR2/1008946_0000898432-96-000281,https://www.sec.gov/Archives/edgar/data/1008946/000089843296000281/0000898432-96-000281-index.htm,7372
1011255,BUSINESS WEB INC,S-1,1996-05-22,1011255_0000950109-96-003319.htm,./data/S-1/1996/QTR2/1011255_0000950109-96-003319,https://www.sec.gov/Archives/edgar/data/1011255/000095010996003319/0000950109-96-003319-index.htm,7372
1013170,SILICON GAMING INC,S-1,1996-05-30,1013170_0000950109-96-003492.htm,./data/S-1/1996/QTR2/1013170_0000950109-96-003492,https://www.sec.gov/Archives/edgar/data/1013170/000095010996003492/0000950109-96-003492-index.htm,7372
1013236,FILM ROMAN INC,S-1,1996-05-17,1013236_0000898430-96-002109.htm,./data/S-1/1996/QTR2/1013236_0000898430-96-002109,https://www.sec.gov/Archives/edgar/data/1013236/000089843096002109/0000898430-96-002109-index.htm,7812
1013273,CABLE SAT SYSTEMS INC,S-1,1996-06-17,1013273_0000950144-96-003478.htm,./data/S-1/1996/QTR2/1013273_0000950144-96-003478,https://www.sec.gov/Archives/edgar/data/1013273/000095014496003478/0000950144-96-003478-index.htm,7372
1013355,TRUSTED INFORMATION SYSTEMS INC,S-1,1996-06-07,1013355_0000950133-96-000862.htm,./data/S-1/1996/QTR2/1013355_0000950133-96-000862,https://www.sec.gov/Archives/edgar/data/1013355/000095013396000862/0000950133-96-000862-index.htm,7372
1013687,PHOENIX INTERNATIONAL LTD INC,S-1,1996-05-08,1013687_0000950144-96-001973.htm,./data/S-1/1996/QTR2/1013687_0000950144-96-001973,https://www.sec.gov/Archives/edgar/data/1013687/000095014496001973/0000950144-96-001973-index.htm,7372
1013763,MUZAK INC,S-1,1996-05-14,1013763_0000950130-96-001725.htm,./data/S-1/1996/QTR2/1013763_0000950130-96-001725,https://www.sec.gov/Archives/edgar/data/1013763/000095013096001725/0000950130-96-001725-index.htm,7389
1013920,AWARD SOFTWARE INTERNATIONAL INC,S-1,1996-06-03,1013920_0000891618-96-000743.htm,./data/S-1/1996/QTR2/1013920_0000891618-96-000743,https://www.sec.gov/Archives/edgar/data/1013920/000089161896000743/0000891618-96-000743-index.htm,7372
1014041,STERILE RECOVERIES INC,S-1,1996-05-15,1014041_0000950144-96-002420.htm,./data/S-1/1996/QTR2/1014041_0000950144-96-002420,https://www.sec.gov/Archives/edgar/data/1014041/000095014496002420/0000950144-96-002420-index.htm,7200
1014210,INTELLIDATA INC /DE/,S-1,1996-06-17,1014210_0000927016-96-000417.htm,./data/S-1/1996/QTR2/1014210_0000927016-96-000417,https://www.sec.gov/Archives/edgar/data/1014210/000092701696000417/0000927016-96-000417-index.htm,7320
1014671,PHOENIX LEASING AMERICAN BUSINESS FUND II LP,S-1,1996-06-11,1014671_0000912057-96-012075.htm,./data/S-1/1996/QTR2/1014671_0000912057-96-012075,https://www.sec.gov/Archives/edgar/data/1014671/000091205796012075/0000912057-96-012075-index.htm,7377
1014733,VDI MEDIA,S-1,1996-05-17,1014733_0000912057-96-010310.htm,./data/S-1/1996/QTR2/1014733_0000912057-96-010310,https://www.sec.gov/Archives/edgar/data/1014733/000091205796010310/0000912057-96-010310-index.htm,7819
1014764,CAPSTAR HOTEL INVESTORS INC,S-1,1996-06-21,1014764_0000950112-96-002111.htm,./data/S-1/1996/QTR2/1014764_0000950112-96-002111,https://www.sec.gov/Archives/edgar/data/1014764/000095011296002111/0000950112-96-002111-index.htm,7011
1014920,OPTIKA IMAGING SYSTEMS INC,S-1,1996-05-22,1014920_0000927356-96-000377.htm,./data/S-1/1996/QTR2/1014920_0000927356-96-000377,https://www.sec.gov/Archives/edgar/data/1014920/000092735696000377/0000927356-96-000377-index.htm,7372
