SB,Winner,Loser,w_first_down,w_rushing_first_down,w_passing_first_down,w_third_down_efficiency,w_four_down_efficiency,w_rush_yd,w_rush_attempt,w_passing_completion/attempt,w_times_sacked_total_yd,w_INT_thrown,w_passing_yd,w_total_yd,w_punt_return/yds,w_kickoff_return/yds,w_INT_return_yd,w_punts/avg_yd,w_fumble,w_penalties/ yd,l_first_down,l_rushing_first_down,l_passing_first_down,l_third_down_efficiency,l_four_down_efficiency,l_rush_yd,l_rush_attempt,l_passing_attempt/completion,l_times_sacked_total_yd,l_INT_thrown,l_passing_yd,l_total_yd,l_punt_return/yds,l_kickoff_return/yds,l_INT_return_yd,l_punts/avg_yd,l_fumble,l_penalties/ yd
I,Green Bay Packers,Kansas City Chiefs,21,10,11,11/15,0/0,133,34,16/24,3/22,1,228,361,4/23,3/65,1/50,4/43.3,1/0,4/40,17,4,12,3/13,0/0,72,19,17/32,6/61,1,167,239,3/19,6/130,1/0,7/45.3,Jan-00,4/26
II,Green Bay Packers,Oakland Raiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,New York Jets,Baltimore Colts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Kansas City Chiefs,Minnesota Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Baltimore Colts,Dallas Cowboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,Dallas Cowboys,Miami Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,Miami Dolphins,Washington Redskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIII,Miami Dolphins,Minnesota Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IX,Pittsburgh Steelers,Minnesota Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Pittsburgh Steelers,Dallas Cowboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XI,Oakland Raiders,Minnesota Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XII,Dallas Cowboys,Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIII,Pittsburgh Steelers,Dallas Cowboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIV,Pittsburgh Steelers,Los Angeles Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XV,Oakland Raiders,Philadelphia Eagles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVI,San Francisco 49ers,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVII,Washington Redskins,Miami Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVIII,Los Angeles Raiders,Washington Redskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIX,San Francisco 49ers,Miami Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
