SB,Date,Attendance,QB  Winner,Coach Winner,Winner,Winning Pts,QB Loser,Coach Loser,Loser,Losing Pts,MVP,Stadium,City,State,Point Difference,temperature,in/ out,Average Viewers,Total Viewers,TV_rating,TV_share,30-sec Ads cost,competitive_score,winnor_season_winning_pct,winnor_season_point_score,winnor_season_point_allow,winnor_end_streak,Winning_streak,Losing_streak,loser_season_winning_pct,loser_season_point_score,loser_season_point_allow,loser_end_streak,Winning_streak,Losing_streak
I,15-Jan-67,61946,Bart Starr,Vince Lombardi,Green Bay Packers,35,Len Dawson,Hank Stram,Kansas City Chiefs,10,Bart Starr,Memorial Coliseum,Los Angeles,California,25,72,outdoors,25590000,37750000,33,40,40000,7.75,0.857,335,163,W5,5,0,0.846,448,276,W3,3,0
II,14-Jan-68,75546,Bart Starr,Vince Lombardi,Green Bay Packers,33,Daryle Lamonica ,John Rauch,Oakland Raiders,14,Bart Starr,Orange Bowl,Miami,Florida,19,68,outdoors,39120000,51300000,36.8,68,54500,4.75,0.692,332,209,L2,0,2,0.929,468,233,W10,10,0
III,12-Jan-69,75389,Joe Namath,Weeb Ewbank,New York Jets,16,"Earl Morrall, Johnny Unitas",Don Shula,Baltimore Colts,7,Joe Namath,Orange Bowl,Miami,Florida,9,73,outdoors,41660000,54500000,36,70,55000,4.25,0.786,419,280,W4,4,0,0.929,402,144,W8,8,0
IV,11-Jan-70,80562,"Len Dawson, Mike Livingston",Hank Stram,Kansas City Chiefs,23,Joe Kapp,Bud Grant,Minnesota Vikings,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16,61,outdoors,44270000,59200000,39.4,69,78200,4,0.786,359,177,L1,0,1,0.857,379,133,L1,0,1
V,17-Jan-71,79204,"Earl Morrall , Johnny Unitas",Don McCafferty,Baltimore Colts,16,Craig Morton,Tom Landry,Dallas Cowboys,13,Chuck Howley,Orange Bowl,Miami,Florida,3,70,outdoors,46040000,58500000,39.9,75,72500,4.25,0.846,321,234,W4,4,0,0.714,299,221,W5,5,0
VI,16-Jan-72,81023,Roger Staubach,Tom Landry,Dallas Cowboys,24,Bob Griese,Don Shula,Miami Dolphins,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21,39,outdoors,56640000,67300000,44.2,74,86100,5.25,0.786,406,222,W7,7,0,0.769,315,174,W1,1,0
VII,14-Jan-73,90182,Bob Griese,Don Shula,Miami Dolphins,14,Bill Kilmer,George Allen,Washington Redskins,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7,84,outdoors,53320000,67700000,42.7,72,88100,5.25,1,385,171,W14,14,0,0.786,336,218,L2,0,2
VIII,13-Jan-74,71882,Bob Griese,Don Shula,Miami Dolphins,24,Fran Tarkenton,Bud Grant,Minnesota Vikings,7,Larry Csonka,Rice Stadium,Houston,Texas,17,50,outdoors,51700000,63200000,41.6,73,103500,7.75,0.857,343,150,W1,1,0,0.857,296,168,W2,2,0
IX,12-Jan-75,80997,Terry Bradshaw,Chuck Noll ,Pittsburgh Steelers,16,Fran Tarkenton,Bud Grant,Minnesota Vikings,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10,46,outdoors,56050000,71300000,42.4,72,107000,2.5,0.75,305,189,W2,2,0,0.714,310,195,W3,3,0
X,18-Jan-76,80187,Terry Bradshaw,Chuck Noll ,Pittsburgh Steelers,21,Roger Staubach,Tom Landry,Dallas Cowboys,17,Lynn Swann,Orange Bowl,Miami,Florida,4,57,outdoors,57710000,73300000,42.3,78,110000,2.5,0.857,373,162,L1 ,0,1,0.786,356,276,W3,3,0
XI,9-Jan-77,103438,Kenny Stabler,John Madden,Oakland Raiders,32,Fran Tarkenton,Bud Grant,Minnesota Vikings,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18,58,outdoors,62050000,81900000,44.4,73,125000,6.5,0.929,350,237,W10,10,0,0.821,305,176,W2,2,0
XII,15-Jan-78,76400,Roger Staubach,Tom Landry,Dallas Cowboys,27,Craig Morton,Red Miller,Denver Broncos,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17,70,indoors,78940000,102010000,47.2,67,162300,5.75,0.857,345,212,W4,4,0,0.857,274,148,L1,0,1
XIII,21-Jan-79,79484,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,35,Roger Staubach,Tom Landry,Dallas Cowboys,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4,71,outdoors,74740000,96630000,47.1,74,185000,2.5,0.875,356,195,W5,5,0,0.75,384,208,W6,6,0
XIV,20-Jan-80,103985,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,31,Vince Ferragamo,Ray Malavasi,Los Angeles Rams,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12,67,outdoors,76240000,97800000,46.3,67,222000,5,0.75,416,262,W1 ,1,0,0.563,323,309,L1,0,1
XV,25-Jan-81,76135,Jim Plunkett,Tom Flores,Oakland Raiders,27,Ron Jaworski,Dick Vermeil,Philadelphia Eagles,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17,72,indoors,68290000,94120000,44.4,63,275000,7.75,0.688,364,306,W2,2,0,0.75,384,222,L1,0,1
XVI,24-Jan-82,81270,Joe Montana,Bill Walsh,San Francisco 49ers,26,Ken Anderson,Forrest Gregg,Cincinnati Bengals,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5,72,indoors,85240000,110230000,49.1,73,324300,8.75,0.857,357,250,W5,5,0,0.75,421,304,W2,2,0
XVII,30-Jan-83,103667,Joe Theismann,Joe Gibbs,Washington Redskins,27,David Woodley,Don Shula,Miami Dolphins,17,John Riggins,Rose Bowl,Pasadena,California,10,61,outdoors,81770000,109040000,48.6,69,400000,6,0.889,190,128,W4,4,0,0.778,198,131,W3,3,0
XVIII,22-Jan-84,72920,Jim Plunkett,Tom Flores,Los Angeles Raiders,38,Joe Theismann,Joe Gibbs,Washington Redskins,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29,68,outdoors,77620000,105200000,46.4,71,368200,7.25,0.75,442,338,W1,1,0,0.875,541,332,W9,9,0
XIX,20-Jan-85,84059,Joe Montano,Bill Walsh,San Francisco 49ers,38,Dan Marino,Don Shula,Miami Dolphins,16,Joe Montana,Stanford Stadium,Palo Alto,California,22,53,outdoors,85530000,115936000,46.4,63,525000,7,0.938,475,227,W9,9,0,0.875,513,298,W2,2,0
XX,26-Jan-86,73818,Jim McMahon,Mike Ditka,Chicago Bears,46,"Tony Eason, Steve Grogan",Raymond Berry,New England Patriots,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36,70,indoors,92570000,127055000,48.3,70,550000,11.5,0.938,456,198,W3,3,0,0.688,362,290,W1,1,0
XXI,25-Jan-87,101063,Phil Simms,Bill Parcells,New York Giants,39,John Elway,Dan Reeves,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,19,76,outdoors,87190000,119700000,45.8,66,600000,6.25,0.875,371,236,W9,9,0,0.688,378,327,L1,0,1
XXII,31-Jan-88,73302,Doug Williams,Joe Gibbs,Washington Redskins,42,John Elway,Dan Reeves,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32,61,outdoors,80140000,114600000,41.9,62,645000,13,0.733,379,285,W1,1,0,0.7,379,288,W2,2,0
XXIII,22-Jan-89,75129,Joe Montana,Bill Walsh,San Francisco 49ers,20,Boomer Esiason,Sam Wyche,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4,76,outdoors,81590000,110800000,43.5,68,675000,6,0.625,369,294,L1,0,1,0.7,379,288,W2,2,0
XXIV,28-Jan-90,72919,Joe Montana,George Seifert,San Francisco 49ers,55,John Elway,Dan Reeves,Denver Broncos,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45,72,indoors,73852000,109000000,39,63,700400,11.25,0.875,442,253,W5,5,0,0.688,362,226,L1,0,1
XXV,27-Jan-91,73813,Jeff Hostetler,Bill Parcells,New York Giants,20,Jim Kelly,Marv Levy,Buffalo Bills,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1,71,outdoors,79510000,112100000,41.9,63,800000,3.25,0.813,335,211,W2,2,0,0.813,428,263,L1,0,1
XXVI,26-Jan-92,63130,Mark Rypien,Joe Gibbs,Washington Redskins,37,Jim Kelly,Marv Levy,Buffalo Bills,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13,73,indoors,79590000,119680000,40.3,61,850000,7.25,0.875,485,224,L1,0,1,0.813,458,318,L1,0,1
XXVII,31-Jan-93,98374,Troy Aikman,Jimmy Johnson,Dallas Cowboys,52,"Jim Kelly, Frank Reich",Marv Levy,Buffalo Bills,17,Troy Aikman,Rose Bowl,Pasadena,California,35,61,outdoors,90990000,133400000,45.1,66,850000,10.75,0.813,409,243,W2,2,0,0.688,381,283,L1,0,1
